,team,position,height,age,appearance,goals,assists,yellow cards,second yellow cards,red cards,goals conceded,clean sheets,minutes played,days_injured,games_injured,award,current_value,highest_value
1776,FC Empoli,Defender Centre-Back,185.0,20.0,48,0.051005951,0.0,0.204023803,0.0,0.025502975,0.0,0.0,3529,180,20,0,4000000,4000000
1777,FC Empoli,Defender Centre-Back,188.0,26.0,48,0.0,0.0,0.249930575,0.0,0.0,0.0,0.0,3601,116,16,0,3500000,3500000
1779,FC Empoli,Defender Centre-Back,183.0,26.0,62,0.034220532,0.034220532,0.153992395,0.034220532,0.017110266,0.0,0.0,5260,110,19,3,3000000,5000000
1781,FC Empoli,Defender Centre-Back,178.0,19.0,42,0.136363636,0.0,0.163636364,0.0,0.0,0.0,0.0,3300,0,0,0,200000,200000
1782,FC Empoli,Defender Left-Back,183.0,22.0,59,0.040641228,0.060961842,0.304809212,0.0,0.020320614,0.0,0.0,4429,37,6,2,10000000,10000000
1783,FC Empoli,Defender Left-Back,178.0,22.0,45,0.0,0.0,0.142461417,0.0,0.0,0.0,0.0,2527,16,0,1,2500000,2500000
1785,FC Empoli,Defender Right-Back,180.0,27.0,46,0.056497175,0.11299435,0.028248588,0.0,0.028248588,0.0,0.0,3186,490,80,1,2000000,2000000
1786,FC Empoli,midfield-DefensiveMidfield,178.0,20.0,54,0.309207513,0.061841503,0.123683005,0.0,0.0,0.0,0.0,4366,0,0,1,500000,500000
1787,FC Empoli,midfield-CentralMidfield,180.0,27.0,71,0.048842258,0.162807525,0.19536903,0.016280753,0.0,0.0,0.0,5528,67,9,3,8000000,15000000
1788,FC Empoli,midfield-CentralMidfield,183.0,28.0,74,0.080035571,0.080035571,0.42018675,0.0,0.0,0.0,0.0,4498,121,22,1,3500000,3500000
1791,FC Empoli,midfield-CentralMidfield,180.0,28.0,56,0.0,0.052832404,0.184913414,0.026416202,0.0,0.0,0.0,3407,482,74,0,2000000,7000000
1793,FC Empoli,midfield-CentralMidfield,170.0,20.0,58,0.094265515,0.094265515,0.212097408,0.0,0.0,0.0,0.0,3819,0,0,1,1000000,1000000
1794,FC Empoli,midfield-AttackingMidfield,173.0,20.0,55,0.305232558,0.065406977,0.065406977,0.0,0.0,0.0,0.0,4128,102,15,1,10000000,10000000
1795,FC Empoli,Attack-LeftWinger,186.0,22.0,66,0.303468208,0.151734104,0.130057803,0.021676301,0.0,0.0,0.0,4152,60,9,3,3000000,3000000
1798,FC Empoli,Attack Centre-Forward,190.0,22.0,55,0.205479452,0.058708415,0.293542074,0.0,0.029354207,0.0,0.0,3066,48,4,1,8000000,8000000
